conc,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11
1,0.521,0.463,0.458,0.484,0.554,0.539,0.511293203,0.53751789,0.595727198,0.50936214,0.594307961
1.5,0.744,0.672,0.674,0.748,0.827,0.782,0.806107079,0.763734291,0.780042463,0.739718842,0.747100249
2,0.988,0.926,0.881,1.026,1.09,1.051,1.015886915,0.996870926,1.115581676,1.008145718,
2.5,1.11,1.155,1.077,1.265,1.353,1.289,1.283232531,1.238665094,1.299934512,1.242728604,1.258194655
3,1.394,1.371,1.342,1.597,1.699,1.612,1.540787442,1.513011945,1.658675273,1.535795659,1.516789607
4,1.984,1.909,1.808,2.097,2.156,1.985,2.047812952,2.182412981,2.115534521,2.094786175,1.987335943
5,2.394,2.308,2.219,2.547,2.755,2.614,2.513638413,2.550249207,2.681035651,2.500742207,2.560675126
6,2.888,2.675,2.76,3.139,3.206,3.169,3.088627563,3.308165778,3.125598802,3.065453686,3.156973539
8,3.911,3.636,3.816,4.24,4.458,4.281,4.231914894,4.144950706,4.160040775,4.153752205,4.207640028
10,4.903,4.554,4.908,5.366,5.515,5.2,5.171892999,4.936451108,5.128078818,5.34078272,4.997843187